State,Latitude,Longitude,Total reported direct emissions
NM,32.27,-104.13,46742.656
WY,41.55,-110.05,116452.916
OK,35.30,-97.76,28091.146
OH,39.77,-81.29,24473.722
PA,40.81,-80.08,126238.386
TX,31.46,-103.39,34830.924
OK,34.81,-97.70,46422.57
TX,28.42,-99.26,71915.376
TX,31.32,-103.22,153035.112
TX,31.06,-93.96,77968.174
WY,42.74,-105.47,120994.35
OK,35.32,-99.78,68004.848
TX,32.13,-101.80,50036.70549
TX,32.15,-94.27,134840.644
OK,35.67,-98.15,33111.698
MN,44.85,-94.90,83212.686
IA,42.47,-91.55,82555.84
IL,41.59,-89.78,59479.026
ND,45.99,-96.65,87095.422
ND,47.19,-98.43,88291.118
KS,38.23,-98.29,3370.544
IA,40.90,-91.97,27412.212
MI,41.90,-86.53,29950.814
TN,35.45,-89.29,59378.884
IN,38.38,-86.78,43792.7
TN,36.39,-88.48,34636.64
LA,32.47,-91.60,35879.024
TX,36.30,-101.62,1185.596
KS,38.83,-97.09,25750.672
LA,30.47,-92.52,58641.64
KS,37.61,-99.40,26246.766
MS,33.37,-91.01,41196.17
MI,42.67,-85.96,20048.086
KS,39.49,-96.04,2493.046
LA,31.53,-92.19,60480.732
IN,41.64,-85.47,20573.626
IA,40.63,-93.54,7551.83
KY,37.38,-87.62,35023.936
MO,40.18,-95.12,29028.354
KS,37.08,-100.47,6275.282
IL,41.21,-90.44,3447.192
LA,29.69,-91.34,31843.246
IL,41.62,-88.58,9274.874
MS,34.42,-90.13,11993.572
IN,41.43,-87.49,8282.132
IL,42.30,-88.50,39005.512
MI,43.62,-85.38,33784.51
TX,27.75,-97.82,286479.4628
TX,29.76,-95.36,72980.286
GA,31.55,-84.25,43335.596
AL,33.01,-85.90,148595.094
OK,34.87,-96.35,45461.488
MN,43.64,-93.16,82559.44
LA,32.36,-91.86,28955.706
OK,35.16,-97.86,33015.736
OK,34.63,-96.18,30606.088
WY,41.61,-106.21,839.698
PA,40.43,-79.09,39929.062
OH,39.24,-82.12,78871.414
TX,32.93,-96.82,66799.558
NM,36.43,-107.57,33348.634
TX,33.48,-96.15,604.35
IN,39.76,-86.85,75380.222
TX,30.90,-102.89,25058.806
TX,29.74,-99.14,40331.722
NE,40.22,-96.75,13713.86
OK,36.62,-100.43,58531.438
PA,40.42,-75.62,75519.24
MI,42.79,-82.53,61896.524
OK,33.98,-96.00,47116.298
OH,39.77,-81.29,11882.55
PA,40.41,-76.15,54745.708
NE,40.51,-99.48,4137.142
TX,31.89,-95.91,25218.622
TX,31.89,-95.94,36219.676
CO,40.77,-107.76,2898.092
WV,39.72,-80.22,28538.358
TX,33.41,-85.97,36259.518
IL,39.71,-89.27,1066.648
TX,25.95,-97.42,29900.8778
TX,28.70,-97.83,29711.248
RI,41.97,-71.75,68796.602
KS,38.50,-98.42,48347.754
OK,34.86,-97.10,21948.974
TX,32.15,-94.34,5357.644
MI,44.84,-84.97,44172.9
MD,39.63,-79.34,22644.624
LA,30.54,-91.92,45134.74
IA,41.64,-93.62,45766.228
NC,35.76,-77.87,36953.352
MO,38.77,-90.45,7281.842
UT,40.25,-111.65,79489.3
NY,43.34,-76.34,47576.45
NJ,40.47,-74.45,53948.994
VA,36.60,-82.15,116799
CO,38.68,-104.63,16736.75
OK,36.09,-95.73,2394.25
SD,44.30,-96.79,37443
KS,37.76,-97.39,196389.95
NY,42.24,-75.99,12793.7
FL,26.03,-80.42,31245.75
SD,45.46,-98.49,53045.75
RI,41.99,-71.51,21633.568
KY,38.21,-85.79,20622.272
AL,31.70,-85.84,46530.5
VA,36.76,-77.81,60585.7
ME,44.58,-68.81,4197.08
CA,36.92,-121.82,24957.25
MO,37.64,-91.14,97482.946
NC,35.73,-82.64,72035.25
OH,41.28,-82.82,75475.016
IN,39.68,-85.69,72990.776
AL,34.61,-86.97,86168.976
IL,37.01,-89.18,50738.96
LA,29.94,-90.35,43859.984
KS,38.40,-96.17,30205.236
NJ,40.08,-74.71,46831.188
MN,44.79,-93.32,46739.998
ID,43.45,-112.07,43877.584
MN,45.14,-94.81,111352.48
KS,37.77,-96.90,55406.1
MO,36.89,-90.31,8370.25
NE,41.26,-97.04,103423
AZ,33.08,-112.27,35273.95
PA,40.66,-80.36,34000.96
TX,29.50,-94.97,102660.22
GA,31.39,-84.08,105380.86
PA,39.92,-80.46,2302524.386
KY,38.20,-85.87,28909.692
GA,33.49,-82.24,26126
IL,38.21,-89.86,6811568.356
MO,38.64,-90.27,33315.824
TX,27.61,-97.31,515166.94
AL,31.01,-88.01,6916075.438
WA,47.08,-119.22,32639.428
ID,43.84,-111.78,56798.936
MT,45.93,-112.52,59476.076
TX,30.15,-97.55,746732.984
NY,42.98,-78.16,8159.92
MS,34.34,-89.93,1329346.424
KY,38.86,-84.66,45950.648
MS,32.28,-90.93,427999.708
WI,46.59,-90.90,20656.412
OH,41.69,-83.44,1309050.614
IA,41.35,-91.08,68837.14
LA,29.92,-90.35,74859.368
NJ,40.65,-74.09,313185.426
NJ,40.66,-74.11,33747.27
TX,29.62,-95.05,1753624.052
LA,30.28,-92.60,68136.796
TX,29.64,-95.06,37769.308
TX,29.96,-93.89,570316.04
FL,27.91,-82.42,3158969.992
NY,40.61,-73.76,73772.25
TX,29.77,-94.90,1956009.648
VA,37.70,-78.28,1210013.008
NE,40.33,-96.81,244807.952
NE,40.22,-96.77,25275
TX,30.00,-93.98,5188.22
OR,46.17,-123.18,453175.344
PA,41.65,-76.80,17562.136
VA,37.26,-79.48,31671.5
FL,27.30,-82.40,40307.25
IL,41.69,-87.55,56178.292
SC,33.25,-81.48,117779.78
TN,35.87,-84.70,107696.944
PA,40.81,-75.59,126859.582
NC,36.28,-80.06,6959270.394
MI,42.77,-82.49,7334068.38
MA,42.09,-71.48,61832.616
MA,42.11,-71.45,949636.28
OH,39.30,-81.57,194652.152
